jj=1, kk=0, dout(1)=0.000000+j0.000000
jj=2, kk=256, dout(257)=0.000000+j0.000000
jj=3, kk=128, dout(129)=0.000000+j0.000000
jj=4, kk=384, dout(385)=0.000000+j0.000000
jj=5, kk=64, dout(65)=0.000000+j0.000000
jj=6, kk=320, dout(321)=0.000000+j0.000000
jj=7, kk=192, dout(193)=0.000000+j0.000000
jj=8, kk=448, dout(449)=0.000000+j0.000000
jj=9, kk=32, dout(33)=0.000000+j0.000000
jj=10, kk=288, dout(289)=0.000000+j0.000000
jj=11, kk=160, dout(161)=0.000000+j0.000000
jj=12, kk=416, dout(417)=0.000000+j0.000000
jj=13, kk=96, dout(97)=0.000000+j0.000000
jj=14, kk=352, dout(353)=0.000000+j0.000000
jj=15, kk=224, dout(225)=0.000000+j0.000000
jj=16, kk=480, dout(481)=0.000000+j0.000000
jj=17, kk=16, dout(17)=0.000000+j0.000000
jj=18, kk=272, dout(273)=0.000000+j0.000000
jj=19, kk=144, dout(145)=0.000000+j0.000000
jj=20, kk=400, dout(401)=0.000000+j0.000000
jj=21, kk=80, dout(81)=0.000000+j0.000000
jj=22, kk=336, dout(337)=0.000000+j0.000000
jj=23, kk=208, dout(209)=0.000000+j0.000000
jj=24, kk=464, dout(465)=0.000000+j0.000000
jj=25, kk=48, dout(49)=0.000000+j0.000000
jj=26, kk=304, dout(305)=0.000000+j0.000000
jj=27, kk=176, dout(177)=0.000000+j0.000000
jj=28, kk=432, dout(433)=0.000000+j0.000000
jj=29, kk=112, dout(113)=0.000000+j0.000000
jj=30, kk=368, dout(369)=0.000000+j0.000000
jj=31, kk=240, dout(241)=0.000000+j0.000000
jj=32, kk=496, dout(497)=0.000000+j0.000000
jj=33, kk=8, dout(9)=0.000000+j0.000000
jj=34, kk=264, dout(265)=0.000000+j0.000000
jj=35, kk=136, dout(137)=0.000000+j0.000000
jj=36, kk=392, dout(393)=0.000000+j0.000000
jj=37, kk=72, dout(73)=0.000000+j0.000000
jj=38, kk=328, dout(329)=0.000000+j0.000000
jj=39, kk=200, dout(201)=0.000000+j0.000000
jj=40, kk=456, dout(457)=0.000000+j0.000000
jj=41, kk=40, dout(41)=0.000000+j0.000000
jj=42, kk=296, dout(297)=0.000000+j0.000000
jj=43, kk=168, dout(169)=0.000000+j0.000000
jj=44, kk=424, dout(425)=0.000000+j0.000000
jj=45, kk=104, dout(105)=0.000000+j0.000000
jj=46, kk=360, dout(361)=0.000000+j0.000000
jj=47, kk=232, dout(233)=0.000000+j0.000000
jj=48, kk=488, dout(489)=0.000000+j0.000000
jj=49, kk=24, dout(25)=0.000000+j0.000000
jj=50, kk=280, dout(281)=0.000000+j0.000000
jj=51, kk=152, dout(153)=0.000000+j0.000000
jj=52, kk=408, dout(409)=0.000000+j0.000000
jj=53, kk=88, dout(89)=0.000000+j0.000000
jj=54, kk=344, dout(345)=0.000000+j0.000000
jj=55, kk=216, dout(217)=0.000000+j0.000000
jj=56, kk=472, dout(473)=0.000000+j0.000000
jj=57, kk=56, dout(57)=0.000000+j0.000000
jj=58, kk=312, dout(313)=0.000000+j0.000000
jj=59, kk=184, dout(185)=0.000000+j0.000000
jj=60, kk=440, dout(441)=0.000000+j0.000000
jj=61, kk=120, dout(121)=0.000000+j0.000000
jj=62, kk=376, dout(377)=0.000000+j0.000000
jj=63, kk=248, dout(249)=0.000000+j0.000000
jj=64, kk=504, dout(505)=0.000000+j0.000000
jj=65, kk=4, dout(5)=0.000000+j0.000000
jj=66, kk=260, dout(261)=0.000000+j0.000000
jj=67, kk=132, dout(133)=0.000000+j0.000000
jj=68, kk=388, dout(389)=0.000000+j0.000000
jj=69, kk=68, dout(69)=0.000000+j0.000000
jj=70, kk=324, dout(325)=0.000000+j0.000000
jj=71, kk=196, dout(197)=0.000000+j0.000000
jj=72, kk=452, dout(453)=0.000000+j0.000000
jj=73, kk=36, dout(37)=0.000000+j0.000000
jj=74, kk=292, dout(293)=0.000000+j0.000000
jj=75, kk=164, dout(165)=0.000000+j0.000000
jj=76, kk=420, dout(421)=0.000000+j0.000000
jj=77, kk=100, dout(101)=0.000000+j0.000000
jj=78, kk=356, dout(357)=0.000000+j0.000000
jj=79, kk=228, dout(229)=0.000000+j0.000000
jj=80, kk=484, dout(485)=0.000000+j0.000000
jj=81, kk=20, dout(21)=0.000000+j0.000000
jj=82, kk=276, dout(277)=0.000000+j0.000000
jj=83, kk=148, dout(149)=0.000000+j0.000000
jj=84, kk=404, dout(405)=0.000000+j0.000000
jj=85, kk=84, dout(85)=0.000000+j0.000000
jj=86, kk=340, dout(341)=0.000000+j0.000000
jj=87, kk=212, dout(213)=0.000000+j0.000000
jj=88, kk=468, dout(469)=0.000000+j0.000000
jj=89, kk=52, dout(53)=0.000000+j0.000000
jj=90, kk=308, dout(309)=0.000000+j0.000000
jj=91, kk=180, dout(181)=0.000000+j0.000000
jj=92, kk=436, dout(437)=0.000000+j0.000000
jj=93, kk=116, dout(117)=0.000000+j0.000000
jj=94, kk=372, dout(373)=0.000000+j0.000000
jj=95, kk=244, dout(245)=0.000000+j0.000000
jj=96, kk=500, dout(501)=0.000000+j0.000000
jj=97, kk=12, dout(13)=0.000000+j0.000000
jj=98, kk=268, dout(269)=0.000000+j0.000000
jj=99, kk=140, dout(141)=0.000000+j0.000000
jj=100, kk=396, dout(397)=0.000000+j0.000000
jj=101, kk=76, dout(77)=0.000000+j0.000000
jj=102, kk=332, dout(333)=0.000000+j0.000000
jj=103, kk=204, dout(205)=0.000000+j0.000000
jj=104, kk=460, dout(461)=0.000000+j0.000000
jj=105, kk=44, dout(45)=0.000000+j0.000000
jj=106, kk=300, dout(301)=0.000000+j0.000000
jj=107, kk=172, dout(173)=0.000000+j0.000000
jj=108, kk=428, dout(429)=0.000000+j0.000000
jj=109, kk=108, dout(109)=0.000000+j0.000000
jj=110, kk=364, dout(365)=0.000000+j0.000000
jj=111, kk=236, dout(237)=0.000000+j0.000000
jj=112, kk=492, dout(493)=0.000000+j0.000000
jj=113, kk=28, dout(29)=0.000000+j0.000000
jj=114, kk=284, dout(285)=0.000000+j0.000000
jj=115, kk=156, dout(157)=0.000000+j0.000000
jj=116, kk=412, dout(413)=0.000000+j0.000000
jj=117, kk=92, dout(93)=0.000000+j0.000000
jj=118, kk=348, dout(349)=0.000000+j0.000000
jj=119, kk=220, dout(221)=0.000000+j0.000000
jj=120, kk=476, dout(477)=0.000000+j0.000000
jj=121, kk=60, dout(61)=0.000000+j0.000000
jj=122, kk=316, dout(317)=0.000000+j0.000000
jj=123, kk=188, dout(189)=0.000000+j0.000000
jj=124, kk=444, dout(445)=0.000000+j0.000000
jj=125, kk=124, dout(125)=0.000000+j0.000000
jj=126, kk=380, dout(381)=0.000000+j0.000000
jj=127, kk=252, dout(253)=0.000000+j0.000000
jj=128, kk=508, dout(509)=0.000000+j0.000000
jj=129, kk=2, dout(3)=0.000000+j0.000000
